Code,Position,Latitute,Longitude ,Tree age,Origin
Cri13S-22,Wenchang city of Hainan province,19.53,110.76,Eight years,Malaysia
Cri13S-24,Wenchang city of Hainan province,19.53,110.76,Eight years,Malaysia
Cri14N-1,Wenchang city of Hainan province,19.53,110.76,Eight years,Malaysia
Cri14N-2,Wenchang city of Hainan province,19.53,110.76,Eight years,Malaysia
Cri14S-1,Wenchang city of Hainan province,19.53,110.76,Eight years,Malaysia
Cri14S-2,Wenchang city of Hainan province,19.53,110.76,Eight years,Malaysia
Cri14S-4,Wenchang city of Hainan province,19.53,110.76,Eight years,Malaysia
Cri14S-7,Wenchang city of Hainan province,19.53,110.76,Eight years,Malaysia
Cri14S-9,Wenchang city of Hainan province,19.53,110.76,Eight years,Malaysia
Cri14S-10,Wenchang city of Hainan province,19.53,110.76,Eight years,Malaysia
Cri14S-11,Wenchang city of Hainan province,19.53,110.76,Eight years,Malaysia
Cri14S-13,Wenchang city of Hainan province,19.53,110.76,Eight years,Malaysia
Cri14S-15,Wenchang city of Hainan province,19.53,110.76,Eight years,Malaysia
Cri14S-18,Wenchang city of Hainan province,19.53,110.76,Eight years,Malaysia
Cri14S-19,Wenchang city of Hainan province,19.53,110.76,Eight years,Malaysia
Cri14S-20,Wenchang city of Hainan province,19.53,110.76,Eight years,Malaysia
Cri14S-21,Wenchang city of Hainan province,19.53,110.76,Eight years,Malaysia
Cri15N-1,Wenchang city of Hainan province,19.53,110.76,Eight years,Malaysia
Cri15N-2,Wenchang city of Hainan province,19.53,110.76,Eight years,Malaysia
Cri15N-3,Wenchang city of Hainan province,19.53,110.76,Eight years,Malaysia
Cri15S-1,Wenchang city of Hainan province,19.53,110.76,Eight years,Costa Rica
Cri15S-3,Wenchang city of Hainan province,19.53,110.76,Eight years,Costa Rica
Cri15S-4,Wenchang city of Hainan province,19.53,110.76,Eight years,Costa Rica
Cri15S-5,Wenchang city of Hainan province,19.53,110.76,Eight years,Costa Rica
Cri15S-6,Wenchang city of Hainan province,19.53,110.76,Eight years,Costa Rica
Cri15S-7,Wenchang city of Hainan province,19.53,110.76,Eight years,Costa Rica
Cri15S-8,Wenchang city of Hainan province,19.53,110.76,Eight years,Costa Rica
Cri15S-10,Wenchang city of Hainan province,19.53,110.76,Eight years,Costa Rica
Cri15S-12,Wenchang city of Hainan province,19.53,110.76,Eight years,Costa Rica
Cri15S-13,Wenchang city of Hainan province,19.53,110.76,Eight years,Costa Rica
Cri15S-14,Wenchang city of Hainan province,19.53,110.76,Eight years,Costa Rica
Cri15S-15,Wenchang city of Hainan province,19.53,110.76,Eight years,Costa Rica
